mbedtls   , 2.28.2  , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_rsa_public              , 10 , 1536 , 560325
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_rsa_private             , 10 , 1536 , 5380  
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 14.2.1 20240910                       , mbedtls_mpi_exp_mod             , 10 , 1536 , 3312  
libgcrypt , 1.11.0  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_mpi_powm                   , 10 , 1536 , 4618  
libgcrypt , 1.11.0  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_verify                  , 10 , 1536 , 563653
libgcrypt , 1.11.0  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign_crt                , 10 , 1536 , 9595  
libgcrypt , 1.11.0  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign                    , 10 , 1536 , 4518  
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_mpi_powm                   , 10 , 1536 , 4480  
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_verify                  , 10 , 1536 , 549899
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign_crt                , 10 , 1536 , 9799  
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign                    , 10 , 1536 , 4451  
libgcrypt , 1.8.10  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_mpi_powm                   , 10 , 1536 , 4526  
libgcrypt , 1.8.10  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_verify                  , 10 , 1536 , 570326
libgcrypt , 1.8.10  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign_crt                , 10 , 1536 , 9652  
libgcrypt , 1.8.10  , gcc   , gcc (GCC) 14.2.1 20240910                       , gcry_pk_sign                    , 10 , 1536 , 4455  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i15_private              , 10 , 1536 , 1321  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i31_private              , 10 , 1536 , 5205  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i32_private              , 10 , 1536 , 3026  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i62_private              , 10 , 1536 , 9019  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i15_public               , 10 , 1536 , 560   
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i31_public               , 10 , 1536 , 2437  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i32_public               , 10 , 1536 , 1607  
bearssl   , 0.6     , clang , clang version 18.1.8                            , br_rsa_i62_public               , 10 , 1536 , 5209  
openssl   , 3.4.0   , clang , clang version 18.1.8                            , BN_mod_exp_mont_consttime_x2    , 10 , 1536 , 34332 
openssl   , 3.4.0   , clang , clang version 18.1.8                            , BN_mod_exp_mont                 , 10 , 1536 , 14896 
openssl   , 3.4.0   , clang , clang version 18.1.8                            , BN_mod_exp_mont_consttime       , 10 , 1536 , 14657 
openssl   , 3.4.0   , clang , clang version 18.1.8                            , EVP_PKEY_sign                   , 10 , 1536 , 14830 
openssl   , 3.4.0   , clang , clang version 18.1.8                            , EVP_PKEY_verify                 , 10 , 1536 , 1280415
openssl   , 3.4.0   , clang , clang version 18.1.8                            , EVP_PKEY_sign_crt               , 10 , 1536 , 34131 
openssl   , 3.0.7   , clang , clang version 18.1.8                            , BN_mod_exp_mont_consttime_x2    , 10 , 1536 , 14942 
openssl   , 3.0.7   , clang , clang version 18.1.8                            , BN_mod_exp_mont                 , 10 , 1536 , 16088 
openssl   , 3.0.7   , clang , clang version 18.1.8                            , BN_mod_exp_mont_consttime       , 10 , 1536 , 14776 
openssl   , 3.0.7   , clang , clang version 18.1.8                            , EVP_PKEY_sign                   , 10 , 1536 , 14763 
openssl   , 3.0.7   , clang , clang version 18.1.8                            , EVP_PKEY_verify                 , 10 , 1536 , 1302905
openssl   , 3.0.7   , clang , clang version 18.1.8                            , EVP_PKEY_sign_crt               , 10 , 1536 , 34420 
gmp       , 6.3.0   , clang , clang version 18.1.8                            , mpz_powm                        , 10 , 1536 , 15557 
gmp       , 6.3.0   , clang , clang version 18.1.8                            , mpz_powm_sec                    , 10 , 1536 , 13067 
gmp       , 6.2.1   , clang , clang version 18.1.8                            , mpz_powm                        , 10 , 1536 , 10654 
gmp       , 6.2.1   , clang , clang version 18.1.8                            , mpz_powm_sec                    , 10 , 1536 , 10061 
gmp       , 6.1.2   , clang , clang version 18.1.8                            , mpz_powm                        , 10 , 1536 , 11045 
gmp       , 6.1.2   , clang , clang version 18.1.8                            , mpz_powm_sec                    , 10 , 1536 , 10455 
nettle    , 3.10    , clang , clang version 18.1.8                            , rsa_sha1_sign_digest            , 10 , 1536 , 43503 
