mbedtls   , 2.28.2  , clang , clang version 15.0.7                            , mbedtls_mpi_exp_mod             , 10 , 3072 , 498   
mbedtls   , 2.28.2  , clang , clang version 15.0.7                            , mbedtls_rsa_public              , 10 , 3072 , 121299
libgcrypt , 1.10.1  , clang , clang version 15.0.7                            , gcry_pk_verify                  , 10 , 3072 , 141905
libgcrypt , 1.10.1  , clang , clang version 15.0.7                            , gcry_pk_sign_crt                , 10 , 3072 , 1499  
libgcrypt , 1.10.1  , clang , clang version 15.0.7                            , gcry_mpi_powm                   , 10 , 3072 , 656   
libgcrypt , 1.10.1  , clang , clang version 15.0.7                            , gcry_pk_sign                    , 10 , 3072 , 648   
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , EVP_PKEY_sign_crt               , 10 , 4096 , 3028  
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , EVP_PKEY_verify                 , 10 , 4096 , 196935
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , BN_mod_exp_mont                 , 10 , 4096 , 908   
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , BN_mod_exp_mont_consttime       , 10 , 4096 , 812   
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , EVP_PKEY_sign                   , 10 , 4096 , 819   
openssl   , 3.0.7   , gcc   , gcc (GCC) 13.1.1 20230429                       , BN_mod_exp_mont_consttime_x2    , 10 , 4096 , 814   
gmp       , 6.2.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm                        , 10 , 4096 , 843   
gmp       , 6.2.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm_sec                    , 10 , 4096 , 655   
gmp       , 6.1.2   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm                        , 10 , 4096 , 615   
gmp       , 6.1.2   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm_sec                    , 10 , 4096 , 532   
gmp       , 5.1.3   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm                        , 10 , 4096 , 617   
